GEO_CODE,GEO_LEVEL,GEO_NAME,GNR,DATA_QUALITY_FLAG,ALT_GEO_CODE,Census_Year,Categories,Age_ID,Male_Count,Female_Count
1,0,Canada,4,20000,1,2016,Total - Age,1,17264200,17887530
1,0,Canada,4,20000,1,2016,0 to 14 years,2,2992920,2846645
1,0,Canada,4,20000,1,2016,0 to 4 years,3,973035,925760
1,0,Canada,4,20000,1,2016,Under 1 year,4,189085,180650
1,0,Canada,4,20000,1,2016,1,5,190900,181710
1,0,Canada,4,20000,1,2016,2,6,193940,184945
1,0,Canada,4,20000,1,2016,3,7,198615,187590
1,0,Canada,4,20000,1,2016,4,8,200500,190865
1,0,Canada,4,20000,1,2016,5 to 9 years,9,1034690,983440
1,0,Canada,4,20000,1,2016,5,10,202500,192035
1,0,Canada,4,20000,1,2016,6,11,208145,197850
1,0,Canada,4,20000,1,2016,7,12,209850,199195
1,0,Canada,4,20000,1,2016,8,13,209795,200040
1,0,Canada,4,20000,1,2016,9,14,204400,194325
1,0,Canada,4,20000,1,2016,10 to 14 years,15,985200,937445
1,0,Canada,4,20000,1,2016,10,16,199335,189825
1,0,Canada,4,20000,1,2016,11,17,197005,186865
1,0,Canada,4,20000,1,2016,12,18,198125,188990
1,0,Canada,4,20000,1,2016,13,19,194645,185285
1,0,Canada,4,20000,1,2016,14,20,196090,186475
1,0,Canada,4,20000,1,2016,15 to 64 years,21,11576130,11800400
1,0,Canada,4,20000,1,2016,15 to 19 years,22,1039215,986940
1,0,Canada,4,20000,1,2016,15,23,199405,188795
1,0,Canada,4,20000,1,2016,16,24,205865,195450
1,0,Canada,4,20000,1,2016,17,25,205290,194940
1,0,Canada,4,20000,1,2016,18,26,209810,200890
1,0,Canada,4,20000,1,2016,19,27,218840,206870
1,0,Canada,4,20000,1,2016,20 to 24 years,28,1144495,1098200
1,0,Canada,4,20000,1,2016,20,29,225450,215960
1,0,Canada,4,20000,1,2016,21,30,229080,217815
1,0,Canada,4,20000,1,2016,22,31,227565,217330
1,0,Canada,4,20000,1,2016,23,32,230065,221165
1,0,Canada,4,20000,1,2016,24,33,232340,225930
1,0,Canada,4,20000,1,2016,25 to 29 years,34,1144475,1141515
1,0,Canada,4,20000,1,2016,25,35,236065,230320
1,0,Canada,4,20000,1,2016,26,36,235505,232540
1,0,Canada,4,20000,1,2016,27,37,227260,226180
1,0,Canada,4,20000,1,2016,28,38,221410,224585
1,0,Canada,4,20000,1,2016,29,39,224235,227890
1,0,Canada,4,20000,1,2016,30 to 34 years,40,1148290,1181105
1,0,Canada,4,20000,1,2016,30,41,230600,233900
1,0,Canada,4,20000,1,2016,31,42,230230,235450
1,0,Canada,4,20000,1,2016,32,43,230275,236785
1,0,Canada,4,20000,1,2016,33,44,228745,237225
1,0,Canada,4,20000,1,2016,34,45,228440,237740
1,0,Canada,4,20000,1,2016,35 to 39 years,46,1118635,1169730
1,0,Canada,4,20000,1,2016,35,47,229635,238730
1,0,Canada,4,20000,1,2016,36,48,227275,237050
1,0,Canada,4,20000,1,2016,37,49,221615,233180
1,0,Canada,4,20000,1,2016,38,50,219890,229770
1,0,Canada,4,20000,1,2016,39,51,220220,231010
1,0,Canada,4,20000,1,2016,40 to 44 years,52,1104445,1150695
1,0,Canada,4,20000,1,2016,40,53,221510,231505
1,0,Canada,4,20000,1,2016,41,54,221890,231345
1,0,Canada,4,20000,1,2016,42,55,217190,227680
1,0,Canada,4,20000,1,2016,43,56,219555,227845
1,0,Canada,4,20000,1,2016,44,57,224300,232320
